"SYMBOL" "CA81406_BC.11_" "CA81425_.6_XXX" "CA81425_BC.12_" "CA81425_BC.17_" "CA81425_XXXXX" "CA81426_.7_XXX" "CA81426_BC.13_" "CA81426_BC.18_" "CA81426_XXXXX" "CA81426_XXXXX" "CA81428_.8_XXX" "CA81428_BC.1_P" "CA81428_BC.14_" "CA81428_XXXXX" "CA81429_.9_XXX" "CA81429_BC.15_" "CA81429_BC.20_" "CA81429_BC.3_X" "CA81429_XXXXX" "CA81435_BC.16_" "CA81436_BC.21_" "CA81436_XXXXX" "CA81437_XXXXX" "CA81438_BC.23_" "CA81438_XXXXX" "CA81438_XXXXX" "CA81439_BC.22_" "CA81439_XXXXX" "CA81439_XXXX" "CA81440_XXXXX" "CA81637_XXXXX" "CA81637_XXXX" "CA81641_SSo8_f" "CA81647_SSu8_f" "CA81649_ST16_f" "CA81665_SSu16_" "CA81667_XXXXX" "CA81668_SSo16_" "CA81669_SSo16."
"ACAA1" 1648.06716712438 1656.64571908133 1815.71375592031 1721.15267959505 1888.6878032355 1853.6593995522 1527.53295800739 1414.8701522946 1982.746363083 1625.60412473378 1770.7297929474 1735.53314731738 2014.14520381384 2040.93322069402 1784.20833842959 1806.79802790994 1731.90905483161 1629.31429911194 2216.78841619058 1867.84189401223 1663.29584641013 1870.38834428433 1644.77695385253 1403.57284029407 1390.87275221912 1800.43680414678 1966.47612870044 2394.6842219795 1740.42218857494 2086.11574162007 1980.33611277952 1831.42471532843 1896.18139478876 1738.14553602751 1665.52557797247 1967.30299960808 1865.00360263415 1603.56691697252 1653.32834164305
"ACAA2" 890.771259868685 1281.01855917348 1991.57719406421 1691.94489076818 1682.15943674284 1375.71247566832 1340.92710966369 1139.30015055759 1334.79004838166 1206.25589887788 1268.57401090376 1329.1766619109 1365.36104743021 1715.68244121226 1200.37264083633 1332.80966814331 1182.89623728617 1363.16788310749 1224.82561262388 1114.13989991204 1192.39166309162 2001.13344397531 1586.77626211313 1032.57880771819 1277.47818866524 1365.36104743021 2264.60652280056 1908.45425473771 1529.26881806344 1347.72396403898 1647.7250985666 1530.27733187873 1230.7115643176 1269.84429801882 1518.53630922734 1029.61418894841 1231.05278822018 1249.71251353032 1165.98016037064
"ACACA" 1522.41253241513 2478.16203736574 1850.47179697702 1475.87154048986 2341.86157877488 2416.81448870537 1235.88407751643 1498.91630964686 2203.58879065744 1334.79004838166 2175.31479521148 2268.2932529101 1599.59873258692 1663.64371814222 2168.2358893827 1873.11818202775 1215.32458800472 2344.90467421727 1265.05107496238 1831.84550292455 1431.57468734593 1561.12127781105 2438.80608060159 1348.34347769361 1189.78051172337 2142.44270396597 1865.59799193592 2303.55250817445 2027.00414594648 2006.31887944865 2211.8968090708 2322.85101053289 2314.67748773866 2148.16673191406 2186.8425058713 2357.95300947636 2261.17958386166 2530.21308569515 2695.06714602497
"ACACB" 1900.89848331095 1869.82413949161 2555.84220588252 1992.25918656699 2014.7961334929 2269.37111257204 1964.92738853021 1922.0857982401 2249.14663582122 1853.6593995522 2006.31887944865 1867.30004397878 2001.13344397531 2145.50457469894 1820.34259639713 2372.14402281861 1403.01146239414 1928.12104645747 1901.91052276014 1693.89221922753 2096.48410230812 5503.2957614844 2410.88559232966 1485.64722388451 1256.81369216174 2278.935449141 1658.2672047068 2508.7900908805 2506.92535946567 2653.24960481259 2369.22462523959 2385.27178364623 2873.81539653985 2231.66641279872 1679.39305399409 1843.95797835425 2029.18988273233 1952.71437572685 2135.69257184131
"ACAD8" 967.661268112307 993.583880995765 1226.00532112553 1089.1575422228 1090.1498535992 944.819214891 556.811844001545 781.920215691572 835.798971935965 834.673253465784 927.055216389682 988.974204151478 788.590313723685 968.789181213424 766.62843262876 877.324811738134 840.174683038221 946.099329768683 900.018951672969 1429.71348669953 961.233014198662 2705.45799585417 1253.03134446816 807.860287663236 869.195056584822 4441.42285010374 1501.97953909447 1178.30814137496 1111.21197152716 1257.73454988697 1320.28550501922 1188.29251235253 1365.36104743021 1075.34491742174 529.978325694964 783.420720691452 986.638087816029 953.873714657906 1401.79788270619
"ACADL" 1557.95643133861 1266.63964298611 1402.69023295821 1361.00160313567 1726.27822291377 1198.83472539038 1783.60465366081 1389.66002046265 1318.58164360366 1477.46743612519 919.412703895566 1269.58083301145 908.454332977006 1153.44337067781 777.897102273235 887.134820811502 928.557203268892 943.296255975154 957.796654145846 1847.3894739739 1117.24153373212 1855.84863641086 1481.03862027808 1089.61235702079 1271.85290361961 1679.39305399409 1508.22656881922 1250.71974967043 1176.56953798942 1294.01204073012 1434.96061024033 1333.91617830009 897.594499636772 1179.10170309456 1059.06688849998 1201.11691084018 1211.58225783977 1262.73771873841 1189.78051172337
"ACADSB" 1655.28440851278 1228.02180722887 1220.67132013523 1050.89992763509 1314.51446809258 1544.15807251203 1624.81877328675 1585.45861972948 1712.17411522304 1648.06716712438 1275.88787885279 1400.22116701695 1369.39231301922 1457.20843155645 1474.36506144294 1620.55873089837 1565.08622036246 1198.40834134423 1941.06836281441 1135.59498907526 1029.61418894841 1298.56394921204 1788.47512210192 855.291426211107 365.472191129737 1498.91630964686 2221.28650851408 2346.25470027361 1400.55295148581 1408.13384543874 1470.98693727794 1544.53801166317 1748.47856569646 1401.53086359759 834.673253465784 1462.5161415395 1383.07450825345 1251.01049328484 1083.01421152889
"ACAN" 2584.78747975374 3091.27082446852 2609.83498932914 2235.34419776832 2442.25162923362 3338.17325435586 2920.84368059369 2015.64309850961 2570.02843344084 1385.41286603785 2917.33993751923 272.953511098095 2287.82274657567 2320.09346594152 3504.41845079377 3725.36828614574 3392.48381996492 2953.9288734423 3296.07552158258 1258.08723509272 3546.94925343364 1515.24376097561 822.797177822878 4404.41221861766 3610.67892935203 2151.76872328894 516.285292327354 1567.81055995636 3000.43494775449 2728.74917174163 1047.01561437209 930.936074394484 3433.83391484179 3037.98364411393 3072.54324084988 3325.37227876047 2873.81539653985 2829.65015512172 2713.30796557987
"ACAT1" 1494.98752630939 800.469273253191 982.826742875378 811.665075250743 705.832072067148 1168.96504265664 1130.71572496436 1581.92993428356 751.534211709942 1268.57401090376 1903.7668780221 2132.9655830171 2003.10353559854 1509.07388227204 1411.89627746031 1161.5384735178 1208.0674702741 1363.35396229992 1288.70497233098 1066.34401495246 473.421041503057 1398.24153817767 1275.03584076157 1084.02645388865 89.1999761999129 1186.3248811834 2462.20205887899 1874.79338706825 1047.01561437209 1632.84878600454 1266.96443725224 1252.32084306437 1267.95435719065 1709.15004154191 625.181074268686 1425.28623138474 1401.79788270619 1554.27915547774 1689.77266447508
"ACD" 1733.66480202545 1546.83345064127 1530.27733187873 1332.27121591212 1240.72140919957 1526.80106758072 1221.68885111369 952.245585881038 1827.99394134622 1120.80275341393 1297.38092613402 98.6120512197747 1155.22973969373 997.784300044539 1542.83125591717 1549.3561616013 1505.07451132721 1581.21171855143 1419.78798049823 873.78174844697 2242.93636832901 1677.21039391133 713.0280467341 2079.45302198173 2661.46820377806 1165.07025063265 346.833987647793 625.181074268686 1464.42920642266 1392.85345856871 745.575502544196 713.0280467341 1019.12449794058 1381.51811209048 1324.36895883052 1223.44774550125 1322.20478544487 1270.20611931014 1177.66544487116
"ACER1" 2037.39746832493 1952.71437572685 2187.98997295338 2054.86042399335 1838.47138139107 2163.95902004869 2494.66886491236 2431.32697542664 2038.8821775986 3024.41193679917 1919.89085903818 1951.37560980395 2139.90789483787 1996.13416654272 2101.53441647092 2186.8425058713 2320.09346594152 2051.0135584612 2597.69370023705 2029.76171248283 1931.18277476811 2092.79870709291 2644.35300420377 1500.91540717972 1115.38618444345 2332.08115380255 2734.68169540144 2761.76290404056 2632.26928820992 2004.7369883347 2431.32697542664 2516.30437248508 2291.88474647539 2186.8425058713 1696.23897625822 2076.21646626654 2125.00721635057 1984.69414862532 2086.11574162007
"ACER2" 1920.99435238219 1565.80369317354 1436.58553909342 1156.49585452582 2049.43655232295 1663.29584641013 1390.22440122792 1763.63418206056 1852.14977359622 1737.0615152296 1784.62001863996 1906.4051942835 1915.786232112 1666.00906144915 1645.58630175773 1691.94489076818 1606.85576027763 1809.13645730831 1771.61512682521 2290.49117293597 1074.34319394708 1873.53809978511 1765.65738846575 1249.71251353032 868.42448791286 1784.62001863996 2534.70848551479 2634.96571819611 1410.79617121633 1866.06553209547 2455.27903759241 2185.87599306232 1807.92946929575 1799.87222097738 1606.55470971215 1812.62575348419 1745.53790739597 1796.76577389215 1914.49785110021
"ACKR1" 1688.00837640212 1572.03884023539 1081.00487566112 1158.4199692242 1300.92497399991 1357.81506460579 634.693366081908 982.826742875378 1064.26531414755 556.811844001545 1479.1952193712 1399.08082998568 1218.94335696732 1147.09418424993 1385.08280749157 1020.18579062692 1054.26450810131 1557.08178693216 1036.67167877799 1768.50255478222 1622.34559657317 1056.10516948443 1451.36223782728 1396.37809179739 1480.5956928375 1781.27107862374 1915.19843144889 2020.74228474194 1255.64856410189 1401.53086359759 1881.78638529499 1851.75694520965 1928.12104645747 1617.01057771323 1340.0258290971 1563.07534705071 1513.43283030891 1481.03862027808 1912.13383365234
"ACKR4" 1340.35445838568 851.561121415248 688.598706748201 732.141852510118 157.630912387268 473.421041503057 1072.15272237449 634.693366081908 1222.73139300229 636.879501349676 872.02236123434 109.570098277259 751.534211709942 355.648824839632 1129.92802447549 1234.17539978497 1185.57615266096 1036.67167877799 1152.67236896597 603.368233758357 1167.84315562855 1335.5418439461 702.813801341696 1759.83127015505 2179.0316453591 1095.48578944748 482.18770632951 566.535271289286 880.279350186815 872.02236123434 765.372754038426 720.441101970999 473.421041503057 431.950374662496 857.73785636687 747.221964457813 585.930549819051 682.869081368193 467.553856809573
"ACLY" 1437.1779713946 1181.79741262694 1356.85201292108 1278.83473503325 1293.64210846947 1113.3509083143 1846.7280597622 1860.11637021631 1348.55277788253 2246.89843676781 1581.21171855143 1792.48299820078 1936.93753483674 1908.87204200662 1475.54039357265 1395.35520063352 2013.2890757718 1560.63501645132 1928.12104645747 1682.68237738473 606.054966111587 1088.33559758155 1691.41378482901 1151.96971706518 1479.1952193712 1771.23414547628 3338.17325435586 1877.17790317028 1384.37657246284 1475.87154048986 1708.29083158978 1799.87222097738 1959.60442223864 1359.96543246584 1398.68143409509 1479.91387377318 1296.29969289034 1492.34989042547 1506.03164766535
"ACMSD" 896.781459988463 1034.79873699868 1767.68076416429 1450.71402434429 1444.49298503363 1213.72388690183 1564.73882874212 1660.3667060194 1383.38450928254 2306.93779500505 1372.72924649193 1434.13135799527 1999.18798589735 1968.55983461321 1248.65393514118 1480.5956928375 2052.66247614057 1251.01049328484 1698.61145954319 1285.77107895707 977.177115041203 1381.51811209048 1721.56813472963 970.829023038557 1453.9899568447 1707.41327050346 3751.95646107098 1863.42739531956 1454.68854772949 814.885707040846 1570.47358474131 1737.78230279822 2003.99144423759 1249.0977796829 1284.30916457715 1132.26179656539 1174.36950734578 1053.37409532841 906.545598860881
"ACO2" 1336.48565828976 1599.98092867504 2530.21308569515 1988.92257324703 1817.40463929431 1564.73882874212 2170.06674576126 1837.85401433281 1730.33336859741 2891.59191070424 1740.0169137035 1724.49405322054 2388.57522627404 2435.09827120046 1703.76698447446 1729.26078554283 2540.41605376133 1548.54233275317 2328.22634543657 1625.60412473378 1061.58866839007 1833.98120306597 2001.89453022679 1264.16167540861 1468.00887036659 2029.18988273233 2961.79993202571 2149.05471297492 1849.8248935521 1566.18164826122 1806.25069146571 1953.29410037785 2068.01362078642 2066.15430987094 1453.26585663586 1996.93262933818 1870.38834428433 2006.31887944865 1982.26556967109
"ACOT2" 1724.49405322054 1390.87275221912 1735.05712784841 1768.50255478222 806.443138087608 1242.05121891587 1806.25069146571 2074.86954071575 632.532242034796 1906.98735520231 1649.31510771452 1761.18443682212 1785.85882229705 1667.15375945349 1682.15943674284 1451.07140621358 1756.81374839397 1453.26585663586 1683.07909773479 1637.5707644862 857.004463501829 1455.41615829465 1315.51780666319 1425.62588780747 1278.83473503325 1792.48299820078 2731.90798640673 2143.27032832258 1543.18316022756 2083.08367711633 1507.41631703997 1302.76804454685 2086.11574162007 1607.39659273445 1323.24253369162 1539.05385429174 1176.19994745789 1070.07761369702 1550.36255746013
"ACOT4" 1350.25659054003 1699.15065594018 1167.84315562855 1297.13503616917 1191.30586830729 1197.08886110017 1120.80275341393 1583.42132451426 1215.72978377683 1551.41154271018 1031.15573116765 1133.58883078156 1098.58792599774 1132.58468782617 1234.94318237818 1305.45508511115 1434.13135799527 1128.36372957116 1437.85278879959 1561.52293495247 1403.01146239414 734.768474147467 1228.02180722887 1214.49853356902 1470.19978487562 1654.36199933858 2858.03804613901 1897.35773744251 1243.7825578733 1523.5741083655 1327.85624856186 1290.2649303578 1370.14058381089 1270.56643646564 1410.07458490558 1533.91787411438 1324.04245402403 1247.59902848994 1417.89157107727
"ACOT7" 1112.43943472105 1968.55983461321 1842.20056383921 1915.786232112 1561.52293495247 1675.16785123247 1619.20387130676 1791.82550037442 1511.9409144356 1949.46768377029 1716.93767114591 1616.56408683691 2250.3665138498 2214.37694245206 1884.89065313593 1988.3253805493 2260.28138259333 1624.06486696485 2146.25124144302 1948.07876151115 1822.48550876075 1509.07388227204 1974.7214988984 1322.65655889135 1362.55886970678 1747.48960604784 2243.70245752613 2294.49806499217 1499.90353447122 1686.32540151933 1963.05265541739 2006.31887944865 2168.2358893827 1761.66424235354 1498.26033919152 1713.41644065412 1611.30876036787 1608.15728365878 1827.30376369247
